avg score	scores	id	question	answer	response
e	['e', 'd', 'd', 'e', 'e']	5	who was it ?	a little girl	it was a little girl	[('e', 'A23HZ18KTCK2DA', 636), ('d', 'A1UBP7QDOJJPUO', 37), ('d', 'A9KV8Q3VJY3Q5', 62), ('e', 'A3BAOQ3YJGTXM6', 32), ('e', 'A250TNE6XDKH4N', 365)]
e	['e', 'd', 'd', 'e', 'e']	33	which grip did he develop ?	""" the overlapping grip """	"he developed "" the overlapping grip """	[('e', 'A23HZ18KTCK2DA', 636), ('d', 'A1UBP7QDOJJPUO', 37), ('d', 'A9KV8Q3VJY3Q5', 62), ('e', 'A3BAOQ3YJGTXM6', 32), ('e', 'A250TNE6XDKH4N', 365)]
e	['e', 'e', 'e', 'e', 'e']	48	how long are area codes ?	from two to 5 digits	they are from two to 5 digits	[('e', 'A9KV8Q3VJY3Q5', 66), ('e', 'A250TNE6XDKH4N', 544), ('e', 'AZIAQJWXTSFUX', 98), ('e', 'A23HZ18KTCK2DA', 1994), ('e', 'A3BAOQ3YJGTXM6', 105)]
e	['d', 'e', 'e', 'e', 'e']	78	what was made to honor the occasion ?	the hanoi ceramic mosaic mural	the hanoi ceramic mosaic mural was made to honor the occasion	[('d', 'A9KV8Q3VJY3Q5', 66), ('e', 'A250TNE6XDKH4N', 544), ('e', 'AZIAQJWXTSFUX', 98), ('e', 'A23HZ18KTCK2DA', 1994), ('e', 'A3BAOQ3YJGTXM6', 105)]
e	['a', 'e', 'e', 'e', 'e']	53	what are police looking for ?	other suspects	they are looking for other suspects	[('a', 'A9KV8Q3VJY3Q5', 66), ('e', 'A250TNE6XDKH4N', 544), ('e', 'AZIAQJWXTSFUX', 98), ('e', 'A23HZ18KTCK2DA', 1994), ('e', 'A3BAOQ3YJGTXM6', 105)]
e	['e', 'e', 'e', 'd', 'e']	29	what 'd they do so they were allowed to go ?	their chores	they 'd do their chores	[('e', 'A23HZ18KTCK2DA', 680), ('e', 'A250TNE6XDKH4N', 636), ('e', 'AOMFEAWQHU3D8', 42), ('d', 'A1PF01FF85HUY4', 52), ('e', 'A3BAOQ3YJGTXM6', 810)]
e	['e', 'e', 'e', 'e', 'e']	2	when will giordano go to court ?	monday	giordano will go to court on monday	[('e', 'A23HZ18KTCK2DA', 680), ('e', 'A250TNE6XDKH4N', 636), ('e', 'AOMFEAWQHU3D8', 42), ('e', 'A1PF01FF85HUY4', 52), ('e', 'A3BAOQ3YJGTXM6', 810)]
e	['e', 'd', 'd', 'e', 'b']	45	for whose benefit ?	musicares foundation	the musicares foundation benefit	[('e', 'A23HZ18KTCK2DA', 680), ('d', 'A250TNE6XDKH4N', 636), ('d', 'AOMFEAWQHU3D8', 42), ('e', 'A1PF01FF85HUY4', 52), ('b', 'A3BAOQ3YJGTXM6', 810)]
e	['e', 'b', 'd', 'e', 'b']	20	on what ?	the naked back of martin	on the naked back of martin	[('e', 'A23HZ18KTCK2DA', 680), ('b', 'A250TNE6XDKH4N', 636), ('d', 'AOMFEAWQHU3D8', 42), ('e', 'A1PF01FF85HUY4', 52), ('b', 'A3BAOQ3YJGTXM6', 810)]
e	['e', 'e', 'e', 'e', 'e']	14	who came in with fred ?	the miners	the miners came in with fred	[('e', 'A250TNE6XDKH4N', 355), ('e', 'A23HZ18KTCK2DA', 639), ('e', 'A3BAOQ3YJGTXM6', 206), ('e', 'A1PF01FF85HUY4', 63), ('e', 'AOMFEAWQHU3D8', 1687)]
e	['e', 'e', 'e', 'e', 'd']	11	what connect childhood and adulthood ?	adolescence	the adolescence connect childhood and adulthood	[('e', 'A250TNE6XDKH4N', 355), ('e', 'A23HZ18KTCK2DA', 639), ('e', 'A3BAOQ3YJGTXM6', 206), ('e', 'A1PF01FF85HUY4', 63), ('d', 'AOMFEAWQHU3D8', 1687)]
e	['d', 'e', 'e', 'd', 'e']	19	who did they meet ?	editing for the front page	they met editing for the front page	[('d', 'A250TNE6XDKH4N', 355), ('e', 'A23HZ18KTCK2DA', 639), ('e', 'A3BAOQ3YJGTXM6', 206), ('d', 'A1PF01FF85HUY4', 63), ('e', 'AOMFEAWQHU3D8', 1687)]
e	['e', 'd', 'e', 'd', 'e']	100	what did scheibler invent ?	the tonometer	scheibler invented the tonometer	[('e', 'A209ROKVKHDRM7', 244), ('d', 'A1UBP7QDOJJPUO', 61), ('e', 'A23HZ18KTCK2DA', 666), ('d', 'A9KV8Q3VJY3Q5', 54), ('e', 'A3BAOQ3YJGTXM6', 441)]
e	['e', 'd', 'e', 'd', 'e']	55	where will they visit next time ?	the beach	they will visit the beach next time	[('e', 'A209ROKVKHDRM7', 244), ('d', 'A1UBP7QDOJJPUO', 61), ('e', 'A23HZ18KTCK2DA', 666), ('d', 'A9KV8Q3VJY3Q5', 54), ('e', 'A3BAOQ3YJGTXM6', 441)]
e	['e', 'd', 'e', 'b', 'e']	51	who reported this story ?	cnn	cnn reported this story	[('e', 'A209ROKVKHDRM7', 244), ('d', 'A1UBP7QDOJJPUO', 61), ('e', 'A23HZ18KTCK2DA', 666), ('b', 'A9KV8Q3VJY3Q5', 54), ('e', 'A3BAOQ3YJGTXM6', 441)]
e	['e', 'd', 'b', 'e', 'e']	62	how far from outen was he ?	about 280 miles away	he was about 280 miles away	[('e', 'A23HZ18KTCK2DA', 2484), ('d', 'A1UBP7QDOJJPUO', 34), ('b', 'A9KV8Q3VJY3Q5', 58), ('e', 'A3BAOQ3YJGTXM6', 192), ('e', 'A250TNE6XDKH4N', 275)]
e	['e', 'd', 'b', 'e', 'e']	58	how many miles is it west-south-west of london ?	190	it is west-south-west 190 miles	[('e', 'A23HZ18KTCK2DA', 2484), ('d', 'A1UBP7QDOJJPUO', 34), ('b', 'A9KV8Q3VJY3Q5', 58), ('e', 'A3BAOQ3YJGTXM6', 192), ('e', 'A250TNE6XDKH4N', 275)]
e	['e', 'd', 'b', 'e', 'e']	77	who is right ?	jim	jim is right	[('e', 'A23HZ18KTCK2DA', 2484), ('d', 'A1UBP7QDOJJPUO', 34), ('b', 'A9KV8Q3VJY3Q5', 58), ('e', 'A3BAOQ3YJGTXM6', 192), ('e', 'A250TNE6XDKH4N', 275)]
e	['e', 'e', 'e', 'e', 'e']	31	how does it make him feel ?	surprised	it makes him feel surprised	[('e', 'A3BAOQ3YJGTXM6', 58), ('e', 'A2WP04RFZ9STGJ', 86), ('e', 'A23HZ18KTCK2DA', 670), ('e', 'AZ4IFIU17NQ10', 786), ('e', 'A250TNE6XDKH4N', 256)]
e	['e', 'd', 'e', 'e', 'e']	25	when did the overthrow occur ?	1917,	it occured in 1917,	[('e', 'A3BAOQ3YJGTXM6', 58), ('d', 'A2WP04RFZ9STGJ', 86), ('e', 'A23HZ18KTCK2DA', 670), ('e', 'AZ4IFIU17NQ10', 786), ('e', 'A250TNE6XDKH4N', 256)]
e	['e', 'e', 'e', 'b', 'e']	57	who helped coach him throughout his career ?	donald rumsfeld	donald rumsfeld helped coach him	[('e', 'AOMFEAWQHU3D8', 45), ('e', 'A3BAOQ3YJGTXM6', 43), ('e', 'A1PF01FF85HUY4', 88), ('b', 'A9KV8Q3VJY3Q5', 59), ('e', 'A23HZ18KTCK2DA', 2053)]
e	['e', 'e', 'e', 'c', 'e']	79	what is that ?	a mayan temple	that is a mayan temple	[('e', 'AOMFEAWQHU3D8', 45), ('e', 'A3BAOQ3YJGTXM6', 43), ('e', 'A1PF01FF85HUY4', 88), ('c', 'A9KV8Q3VJY3Q5', 59), ('e', 'A23HZ18KTCK2DA', 2053)]
e	['d', 'e', 'e', 'a', 'e']	16	what did they do ?	treasonable secret covenant	they did treasonable secret covenant	[('d', 'AOMFEAWQHU3D8', 45), ('e', 'A3BAOQ3YJGTXM6', 43), ('e', 'A1PF01FF85HUY4', 88), ('a', 'A9KV8Q3VJY3Q5', 59), ('e', 'A23HZ18KTCK2DA', 2053)]
e	['e', 'e', 'e', 'e', 'e']	24	when did pope john paul ii visit ?	1982	he visited in 1982	[('e', 'A3BAOQ3YJGTXM6', 35), ('e', 'A23HZ18KTCK2DA', 2055), ('e', 'A250TNE6XDKH4N', 1069), ('e', 'AZIAQJWXTSFUX', 60), ('e', 'A9KV8Q3VJY3Q5', 67)]
e	['e', 'e', 'e', 'e', 'd']	67	who felt there was a silence before the storm ?	even saton	even saton felt there was a silence	[('e', 'A3BAOQ3YJGTXM6', 35), ('e', 'A23HZ18KTCK2DA', 2055), ('e', 'A250TNE6XDKH4N', 1069), ('e', 'AZIAQJWXTSFUX', 60), ('d', 'A9KV8Q3VJY3Q5', 67)]
e	['e', 'e', 'e', 'e', 'd']	90	what was she doing when they got there ?	cooking	she was doing the cooking	[('e', 'A3BAOQ3YJGTXM6', 35), ('e', 'A23HZ18KTCK2DA', 2055), ('e', 'A250TNE6XDKH4N', 1069), ('e', 'AZIAQJWXTSFUX', 60), ('d', 'A9KV8Q3VJY3Q5', 67)]
e	['e', 'e', 'd', 'e', 'd']	94	what continent is buenos aires found on ?	south america	it is found on south america	[('e', 'A3BAOQ3YJGTXM6', 35), ('e', 'A23HZ18KTCK2DA', 2055), ('d', 'A250TNE6XDKH4N', 1069), ('e', 'AZIAQJWXTSFUX', 60), ('d', 'A9KV8Q3VJY3Q5', 67)]
e	['e', 'd', 'e', 'd', 'e']	86	how long ago was it inhabited ?	2000 years	it was inhabited in 2000 years	[('e', 'A23HZ18KTCK2DA', 675), ('d', 'AZIAQJWXTSFUX', 44), ('e', 'A3BAOQ3YJGTXM6', 143), ('d', 'A9KV8Q3VJY3Q5', 61), ('e', 'A1PF01FF85HUY4', 62)]
e	['e', 'e', 'e', 'd', 'e']	28	why did he make the trip ?	to deliver the diary .	he made the trip to deliver the diary .	[('e', 'A23HZ18KTCK2DA', 675), ('e', 'AZIAQJWXTSFUX', 44), ('e', 'A3BAOQ3YJGTXM6', 143), ('d', 'A9KV8Q3VJY3Q5', 61), ('e', 'A1PF01FF85HUY4', 62)]
e	['e', 'e', 'e', 'd', 'e']	6	what did archie receive after his arrival at camp ?	orders	he received orders	[('e', 'A23HZ18KTCK2DA', 675), ('e', 'AZIAQJWXTSFUX', 44), ('e', 'A3BAOQ3YJGTXM6', 143), ('d', 'A9KV8Q3VJY3Q5', 61), ('e', 'A1PF01FF85HUY4', 62)]
e	['d', 'e', 'e', 'e', 'e']	76	how did people in the stadium react ?	boos	people reacted to boos	[('d', 'A3BAOQ3YJGTXM6', 95), ('e', 'AZIAQJWXTSFUX', 54), ('e', 'A1PF01FF85HUY4', 38), ('e', 'A250TNE6XDKH4N', 1440), ('e', 'A23HZ18KTCK2DA', 2044)]
e	['e', 'e', 'e', 'e', 'e']	59	who did he pass the bell to ?	alice	he passed the bell to alice	[('e', 'A3BAOQ3YJGTXM6', 95), ('e', 'AZIAQJWXTSFUX', 54), ('e', 'A1PF01FF85HUY4', 38), ('e', 'A250TNE6XDKH4N', 1440), ('e', 'A23HZ18KTCK2DA', 2044)]
e	['b', 'e', 'e', 'e', 'e']	26	what time was it ?	about five o 'clock	it was about five o 'clock	[('b', 'A9KV8Q3VJY3Q5', 48), ('e', 'A3BAOQ3YJGTXM6', 123), ('e', 'A23HZ18KTCK2DA', 1998), ('e', 'A31CNXHGR49DJR', 98), ('e', 'AZ4IFIU17NQ10', 164)]
e	['d', 'e', 'e', 'e', 'e']	7	who got the next item for him ?	the landlady	the landlady got the next item	[('d', 'A9KV8Q3VJY3Q5', 48), ('e', 'A3BAOQ3YJGTXM6', 123), ('e', 'A23HZ18KTCK2DA', 1998), ('e', 'A31CNXHGR49DJR', 98), ('e', 'AZ4IFIU17NQ10', 164)]
e	['c', 'd', 'b', 'e', 'e']	23	where did the tribes branch out to in the migration period ?	southward .	they allied out to southward .	[('c', 'A9KV8Q3VJY3Q5', 294), ('d', 'A250TNE6XDKH4N', 230), ('b', 'A2MDXIIXH2UNRH', 141), ('e', 'A3BAOQ3YJGTXM6', 109), ('e', 'A23HZ18KTCK2DA', 2467)]
e	['d', 'e', 'd', 'e', 'e']	87	when did he visit her grave ?	friday	he visited her grave on friday	[('d', 'A9KV8Q3VJY3Q5', 294), ('e', 'A250TNE6XDKH4N', 230), ('d', 'A2MDXIIXH2UNRH', 141), ('e', 'A3BAOQ3YJGTXM6', 109), ('e', 'A23HZ18KTCK2DA', 2467)]
e	['c', 'e', 'b', 'e', 'e']	84	who were they searching for ?	nell	they were searching for nell	[('c', 'A9KV8Q3VJY3Q5', 294), ('e', 'A250TNE6XDKH4N', 230), ('b', 'A2MDXIIXH2UNRH', 141), ('e', 'A3BAOQ3YJGTXM6', 109), ('e', 'A23HZ18KTCK2DA', 2467)]
e	['c', 'e', 'a', 'e', 'e']	43	who 's the editor ?	mark sappenfield	it is mark sappenfield	[('c', 'A9KV8Q3VJY3Q5', 294), ('e', 'A250TNE6XDKH4N', 230), ('a', 'A2MDXIIXH2UNRH', 141), ('e', 'A3BAOQ3YJGTXM6', 109), ('e', 'A23HZ18KTCK2DA', 2467)]
e	['d', 'e', 'e', 'e', 'e']	52	who created the immunity plan ?	the gulf cooperation council	the gulf cooperation council created the immunity plan	[('d', 'A9KV8Q3VJY3Q5', 294), ('e', 'A250TNE6XDKH4N', 230), ('e', 'A2MDXIIXH2UNRH', 141), ('e', 'A3BAOQ3YJGTXM6', 109), ('e', 'A23HZ18KTCK2DA', 2467)]
e	['e', 'e', 'e', 'e', 'e']	96	how many times was he observed ?	several times	he was observed several times	[('e', 'AOMFEAWQHU3D8', 47), ('e', 'A1PF01FF85HUY4', 61), ('e', 'A250TNE6XDKH4N', 488), ('e', 'A3BAOQ3YJGTXM6', 322), ('e', 'A23HZ18KTCK2DA', 2021)]
e	['e', 'e', 'e', 'e', 'e']	74	if i were irish in the 1800s and going to america , what port would i likely leave from ?	liverpool	i would likely leave from liverpool	[('e', 'AOMFEAWQHU3D8', 47), ('e', 'A1PF01FF85HUY4', 61), ('e', 'A250TNE6XDKH4N', 488), ('e', 'A3BAOQ3YJGTXM6', 322), ('e', 'A23HZ18KTCK2DA', 2021)]
e	['d', 'e', 'e', 'e', 'e']	34	kids can acquire new knowledge from making what ?	money	money can acquire new knowledge	[('d', 'A250TNE6XDKH4N', 557), ('e', 'A3BAOQ3YJGTXM6', 160), ('e', 'AZIAQJWXTSFUX', 58), ('e', 'A23HZ18KTCK2DA', 643), ('e', 'AOMFEAWQHU3D8', 50)]
e	['e', 'e', 'b', 'e', 'e']	32	what 's a danish name for it ?	slesvig-holsten	it is slesvig-holsten	[('e', 'A250TNE6XDKH4N', 557), ('e', 'A3BAOQ3YJGTXM6', 160), ('b', 'AZIAQJWXTSFUX', 58), ('e', 'A23HZ18KTCK2DA', 643), ('e', 'AOMFEAWQHU3D8', 50)]
e	['e', 'e', 'e', 'e', 'd']	69	who was at the wattchtower ?	the duke and alberic	the duke and alberic was at the wattchtower	[('e', 'A250TNE6XDKH4N', 557), ('e', 'A3BAOQ3YJGTXM6', 160), ('e', 'AZIAQJWXTSFUX', 58), ('e', 'A23HZ18KTCK2DA', 643), ('d', 'AOMFEAWQHU3D8', 50)]
e	['e', 'b', 'd', 'e', 'e']	37	what does she feel made her a victim ?	race-conscious admission policies	she feels race-conscious admission policies made her a victim	[('e', 'A3BAOQ3YJGTXM6', 556), ('b', 'A1UBP7QDOJJPUO', 35), ('d', 'A9KV8Q3VJY3Q5', 67), ('e', 'A23HZ18KTCK2DA', 650), ('e', 'A250TNE6XDKH4N', 186)]
e	['e', 'b', 'd', 'e', 'e']	88	where did it hide ?	in the bathroom	it hid in the bathroom	[('e', 'A3BAOQ3YJGTXM6', 556), ('b', 'A1UBP7QDOJJPUO', 35), ('d', 'A9KV8Q3VJY3Q5', 67), ('e', 'A23HZ18KTCK2DA', 650), ('e', 'A250TNE6XDKH4N', 186)]
