avg score	scores	id	question	answer	response
b	['b', 'b', 'b', 'b', 'b']	3	how did he feel ?	he was interested	very interested	[('b', 'A31ZLT6OHU6CRY', 762), ('b', 'A3T9WZOUQGE2UW', 112), ('b', 'A2P887RDKZ27ZF', 1188), ('b', 'A3O9WZNVQSQC1S', 47), ('b', 'A31CNXHGR49DJR', 91)]
b	['b', 'b', 'b', 'b', 'e']	4	what time ?	3pm	3pm	[('b', 'A31CNXHGR49DJR', 146), ('b', 'A2P887RDKZ27ZF', 1004), ('b', 'A3T9WZOUQGE2UW', 173), ('b', 'A31ZLT6OHU6CRY', 738), ('e', 'A3O9WZNVQSQC1S', 65)]
b	['b', 'b', 'b', 'b', 'b']	5	who was it ?	a little girl	little girl	[('b', 'A3O9WZNVQSQC1S', 131), ('b', 'A1BFLMCFOAYEVI', 234), ('b', 'A34DYM8J0X5VK', 88), ('b', 'A31CNXHGR49DJR', 696), ('b', 'A2P887RDKZ27ZF', 1526)]
b	['b', 'b', 'b', 'b', 'b']	6	what did archie receive after his arrival at camp ?	orders	orders	[('b', 'A3T9WZOUQGE2UW', 135), ('b', 'A31ZLT6OHU6CRY', 272), ('b', 'A3O9WZNVQSQC1S', 52), ('b', 'A31CNXHGR49DJR', 92), ('b', 'A2P887RDKZ27ZF', 1932)]
b	['b', 'd', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']	7	who got the next item for him ?	the landlady	landlady	[('b', 'A31CNXHGR49DJR', 207), ('d', 'A3IX3XVGPJH2I7', 1635), ('b', 'A3T9WZOUQGE2UW', 151), ('b', 'A2P887RDKZ27ZF', 1825), ('b', 'A3O9WZNVQSQC1S', 44), ('b', 'A31CNXHGR49DJR', 73), ('b', 'A2P887RDKZ27ZF', 640), ('b', 'A3O9WZNVQSQC1S', 42), ('b', 'A31ZLT6OHU6CRY', 342), ('b', 'A10I4OKFE6CQZ2', 226)]
b	['d', 'b', 'b', 'b']	8	what battle was fought in 675 ?	the battle of bedwyn	battle of bedwyn	[('d', 'A3O9WZNVQSQC1S', 54), ('b', 'A3T9WZOUQGE2UW', 128), ('b', 'A1OKMU27HBN9T3', 156), ('b', 'A2P887RDKZ27ZF', 1578)]
b	['b', 'b', 'e', 'b', 'b']	9	who asks him about it ?	sam	sam	[('b', 'A3T9WZOUQGE2UW', 135), ('b', 'A31ZLT6OHU6CRY', 272), ('e', 'A3O9WZNVQSQC1S', 52), ('b', 'A31CNXHGR49DJR', 92), ('b', 'A2P887RDKZ27ZF', 1932)]
b	['b', 'e', 'b', 'b', 'e']	10	who does she mention in her reply ?	jimmy	jimmy	[('b', 'A31CNXHGR49DJR', 207), ('e', 'A3IX3XVGPJH2I7', 1635), ('b', 'A3T9WZOUQGE2UW', 151), ('b', 'A2P887RDKZ27ZF', 1825), ('e', 'A3O9WZNVQSQC1S', 44)]
b	['b', 'b', 'b', 'b', 'b']	12	how many men were coming for them ?	50 .	fifty	[('b', 'A3O9WZNVQSQC1S', 52), ('b', 'A399GYOD60WD7M', 370), ('b', 'A34DYM8J0X5VK', 166), ('b', 'A3T9WZOUQGE2UW', 101), ('b', 'A2P887RDKZ27ZF', 569)]
b	['e', 'b', 'b', 'b']	13	starting from what age ?	three	3	[('e', 'A3O9WZNVQSQC1S', 54), ('b', 'A3T9WZOUQGE2UW', 128), ('b', 'A1OKMU27HBN9T3', 156), ('b', 'A2P887RDKZ27ZF', 1578)]
b	['b', 'b', 'b', 'b', 'b']	14	who came in with fred ?	the miners	miners	[('b', 'A34DYM8J0X5VK', 100), ('b', 'A2P887RDKZ27ZF', 784), ('b', 'A3T9WZOUQGE2UW', 264), ('b', 'A3O9WZNVQSQC1S', 45), ('b', 'A31CNXHGR49DJR', 84)]
b	['e', 'b', 'b', 'b', 'b']	15	what building was struck ?	hamas naval building	hamas naval building	[('e', 'A3O9WZNVQSQC1S', 40), ('b', 'A3T9WZOUQGE2UW', 148), ('b', 'A31CNXHGR49DJR', 311), ('b', 'A31ZLT6OHU6CRY', 474), ('b', 'A2P887RDKZ27ZF', 493)]
b	['b', 'e', 'b', 'b', 'b']	17	to what ?	kittens	kittens	[('b', 'A31CNXHGR49DJR', 55), ('e', 'A3O9WZNVQSQC1S', 40), ('b', 'A2P887RDKZ27ZF', 873), ('b', 'A10I4OKFE6CQZ2', 139), ('b', 'A1OKMU27HBN9T3', 171)]
b	['b', 'b', 'b', 'b', 'e']	18	what was their interaction ?	they shook hands	shook hands	[('b', 'A2P887RDKZ27ZF', 710), ('b', 'A1OKMU27HBN9T3', 128), ('b', 'A34DYM8J0X5VK', 97), ('b', 'A3T9WZOUQGE2UW', 292), ('e', 'A3O9WZNVQSQC1S', 41)]
b	['b', 'b', 'e', 'b', 'b']	20	on what ?	the naked back of martin	naked back of martin	[('b', 'A3T9WZOUQGE2UW', 164), ('b', 'A2RM4OW2ZNSPL', 491), ('e', 'A3O9WZNVQSQC1S', 52), ('b', 'A34DYM8J0X5VK', 103), ('b', 'A2P887RDKZ27ZF', 1082)]
b	['d', 'b', 'b', 'b', 'b']	22	why did dick want to lower it ?	he is not so tall	not quite so tall	[('d', 'A3O9WZNVQSQC1S', 46), ('b', 'A2P887RDKZ27ZF', 230), ('b', 'A34DYM8J0X5VK', 267), ('b', 'A3T9WZOUQGE2UW', 109), ('b', 'A399GYOD60WD7M', 231)]
b	['b', 'b', 'e', 'b', 'b']	23	where did the tribes branch out to in the migration period ?	southward .	southward	[('b', 'A3T9WZOUQGE2UW', 164), ('b', 'A2RM4OW2ZNSPL', 491), ('e', 'A3O9WZNVQSQC1S', 52), ('b', 'A34DYM8J0X5VK', 103), ('b', 'A2P887RDKZ27ZF', 1082)]
b	['b', 'b', 'e', 'b', 'b']	24	when did pope john paul ii visit ?	1982	1982	[('b', 'A31CNXHGR49DJR', 73), ('b', 'A2P887RDKZ27ZF', 640), ('e', 'A3O9WZNVQSQC1S', 42), ('b', 'A31ZLT6OHU6CRY', 342), ('b', 'A10I4OKFE6CQZ2', 226)]
b	['b', 'b', 'c', 'a', 'a']	25	when did the overthrow occur ?	1917,	during world war i .	[('b', 'A34DYM8J0X5VK', 114), ('b', 'A2P887RDKZ27ZF', 2055), ('c', 'A3O9WZNVQSQC1S', 45), ('a', 'A3T9WZOUQGE2UW', 82), ('a', 'A31CNXHGR49DJR', 168)]
b	['b', 'b', 'e', 'b', 'b']	26	what time was it ?	about five o 'clock	five o 'clock	[('b', 'A3T9WZOUQGE2UW', 164), ('b', 'A2RM4OW2ZNSPL', 491), ('e', 'A3O9WZNVQSQC1S', 52), ('b', 'A34DYM8J0X5VK', 103), ('b', 'A2P887RDKZ27ZF', 1082)]
b	['b', 'b', 'b', 'e', 'b']	27	which city is first ?	bridgeport	bridgeport	[('b', 'A2P887RDKZ27ZF', 1991), ('b', 'A399GYOD60WD7M', 672), ('b', 'A31CNXHGR49DJR', 86), ('e', 'A3O9WZNVQSQC1S', 45), ('b', 'A3T9WZOUQGE2UW', 192)]
b	['b', 'b', 'b', 'e', 'b']	32	what 's a danish name for it ?	slesvig-holsten	slesvig-holsten	[('b', 'A3T9WZOUQGE2UW', 91), ('b', 'A2P887RDKZ27ZF', 220), ('b', 'A1OKMU27HBN9T3', 169), ('e', 'A3O9WZNVQSQC1S', 50), ('b', 'A399GYOD60WD7M', 277)]
b	['b', 'b', 'b', 'b', 'e']	33	which grip did he develop ?	""" the overlapping grip """	overlapping grip	[('b', 'A3T9WZOUQGE2UW', 102), ('b', 'A2P887RDKZ27ZF', 416), ('b', 'A31CNXHGR49DJR', 192), ('b', 'A399GYOD60WD7M', 371), ('e', 'A3O9WZNVQSQC1S', 54)]
b	['b', 'b', 'b', 'b', 'b']	34	kids can acquire new knowledge from making what ?	money	money	[('b', 'A3T9WZOUQGE2UW', 164), ('b', 'A2RM4OW2ZNSPL', 491), ('b', 'A3O9WZNVQSQC1S', 52), ('b', 'A34DYM8J0X5VK', 103), ('b', 'A2P887RDKZ27ZF', 1082)]
b	['b', 'b', 'b', 'b', 'b']	35	how many were there ?	675 aborigines	675	[('b', 'A3T9WZOUQGE2UW', 91), ('b', 'A2P887RDKZ27ZF', 220), ('b', 'A1OKMU27HBN9T3', 169), ('b', 'A3O9WZNVQSQC1S', 50), ('b', 'A399GYOD60WD7M', 277)]
b	['e', 'b', 'b', 'b', 'b']	36	what revolt did he lead after that ?	the autumn harvest uprising	autumn harvest uprising	[('e', 'A3O9WZNVQSQC1S', 52), ('b', 'A399GYOD60WD7M', 370), ('b', 'A34DYM8J0X5VK', 166), ('b', 'A3T9WZOUQGE2UW', 101), ('b', 'A2P887RDKZ27ZF', 569)]
b	['b', 'b', 'b', 'b', 'e']	37	what does she feel made her a victim ?	race-conscious admission policies	race-conscious admission policies	[('b', 'A3T9WZOUQGE2UW', 102), ('b', 'A2P887RDKZ27ZF', 416), ('b', 'A31CNXHGR49DJR', 192), ('b', 'A399GYOD60WD7M', 371), ('e', 'A3O9WZNVQSQC1S', 54)]
b	['e', 'b', 'd', 'd', 'b']	38	"its clever "" who did he tell that to ?"	honors colloquium	honors colloquium 2012 at the university of rhode island	[('e', 'A3O9WZNVQSQC1S', 52), ('b', 'A399GYOD60WD7M', 370), ('d', 'A34DYM8J0X5VK', 166), ('d', 'A3T9WZOUQGE2UW', 101), ('b', 'A2P887RDKZ27ZF', 569)]
b	['b', 'b', 'b', 'e', 'b']	39	who gave them ?	mr. coningsby	mr. coningsby	[('b', 'A2P887RDKZ27ZF', 1991), ('b', 'A399GYOD60WD7M', 672), ('b', 'A31CNXHGR49DJR', 86), ('e', 'A3O9WZNVQSQC1S', 45), ('b', 'A3T9WZOUQGE2UW', 192)]
b	['b', 'b', 'b', 'b', 'b']	40	what did she do then ?	scream	screaming	[('b', 'A3T9WZOUQGE2UW', 67), ('b', 'A399GYOD60WD7M', 236), ('b', 'A3O9WZNVQSQC1S', 44), ('b', 'A31CNXHGR49DJR', 188), ('b', 'A2P887RDKZ27ZF', 1275)]
b	['b', 'b', 'b', 'b', 'e']	41	who hosts it ?	liu zaishi	liu zaishi	[('b', 'A399GYOD60WD7M', 309), ('b', 'A3T9WZOUQGE2UW', 133), ('b', 'A2P887RDKZ27ZF', 1394), ('b', 'A34DYM8J0X5VK', 98), ('e', 'A3O9WZNVQSQC1S', 42)]
b	['e', 'b', 'b', 'b']	42	what are they ?	an international news organization	international news organization	[('e', 'A3O9WZNVQSQC1S', 54), ('b', 'A3T9WZOUQGE2UW', 128), ('b', 'A1OKMU27HBN9T3', 156), ('b', 'A2P887RDKZ27ZF', 1578)]
b	['e', 'b', 'b', 'b', 'b']	43	who 's the editor ?	mark sappenfield	mark sappenfield	[('e', 'A3O9WZNVQSQC1S', 40), ('b', 'A3T9WZOUQGE2UW', 148), ('b', 'A31CNXHGR49DJR', 311), ('b', 'A31ZLT6OHU6CRY', 474), ('b', 'A2P887RDKZ27ZF', 493)]
b	['b', 'b', 'b', 'b', 'b']	44	what kind of society did mark see these classes in ?	modern capitalist society	capitalist	[('b', 'A3T9WZOUQGE2UW', 155), ('b', 'A2P887RDKZ27ZF', 1456), ('b', 'A3O9WZNVQSQC1S', 86), ('b', 'A2RM4OW2ZNSPL', 512), ('b', 'A31CNXHGR49DJR', 276)]
b	['b', 'e', 'b', 'b', 'e']	45	for whose benefit ?	musicares foundation	musicares foundation	[('b', 'A31CNXHGR49DJR', 207), ('e', 'A3IX3XVGPJH2I7', 1635), ('b', 'A3T9WZOUQGE2UW', 151), ('b', 'A2P887RDKZ27ZF', 1825), ('e', 'A3O9WZNVQSQC1S', 44)]
b	['b', 'b', 'b', 'e', 'b']	46	who loves singing ?	jenny .	jenny	[('b', 'A34DYM8J0X5VK', 100), ('b', 'A2P887RDKZ27ZF', 784), ('b', 'A3T9WZOUQGE2UW', 264), ('e', 'A3O9WZNVQSQC1S', 45), ('b', 'A31CNXHGR49DJR', 84)]
b	['c', 'a', 'b', 'a', 'b']	47	what were they ?	puppies and kitties	puppies	[('c', 'A3O9WZNVQSQC1S', 40), ('a', 'A3T9WZOUQGE2UW', 148), ('b', 'A31CNXHGR49DJR', 311), ('a', 'A31ZLT6OHU6CRY', 474), ('b', 'A2P887RDKZ27ZF', 493)]
b	['b', 'e', 'b', 'b', 'b']	49	what color fish ?	red .	red	[('b', 'A31CNXHGR49DJR', 55), ('e', 'A3O9WZNVQSQC1S', 40), ('b', 'A2P887RDKZ27ZF', 873), ('b', 'A10I4OKFE6CQZ2', 139), ('b', 'A1OKMU27HBN9T3', 171)]
b	['b', 'e', 'b', 'b', 'b']	51	who reported this story ?	cnn	cnn	[('b', 'A399GYOD60WD7M', 213), ('e', 'A3O9WZNVQSQC1S', 43), ('b', 'A3T9WZOUQGE2UW', 91), ('b', 'A10I4OKFE6CQZ2', 71), ('b', 'A2P887RDKZ27ZF', 97)]
b	['b', 'b', 'b', 'b', 'e']	52	who created the immunity plan ?	the gulf cooperation council	gulf cooperation council	[('b', 'A3T9WZOUQGE2UW', 197), ('b', 'A1OKMU27HBN9T3', 119), ('b', 'A31CNXHGR49DJR', 106), ('b', 'A2P887RDKZ27ZF', 1687), ('e', 'A3O9WZNVQSQC1S', 41)]
b	['e', 'b', 'b', 'b', 'b']	53	what are police looking for ?	other suspects	at least one more suspect	[('e', 'A3O9WZNVQSQC1S', 40), ('b', 'A3T9WZOUQGE2UW', 148), ('b', 'A31CNXHGR49DJR', 311), ('b', 'A31ZLT6OHU6CRY', 474), ('b', 'A2P887RDKZ27ZF', 493)]
b	['b', 'b', 'b', 'b', 'b']	55	where will they visit next time ?	the beach	beach	[('b', 'A2P887RDKZ27ZF', 1357), ('b', 'A399GYOD60WD7M', 119), ('b', 'A3T9WZOUQGE2UW', 65), ('b', 'A1OKMU27HBN9T3', 361), ('b', 'A3O9WZNVQSQC1S', 40)]
b	['b', 'b', 'b', 'b', 'e']	56	what had he been drinking ?	coors beer	coors beer	[('b', 'A3T9WZOUQGE2UW', 197), ('b', 'A1OKMU27HBN9T3', 119), ('b', 'A31CNXHGR49DJR', 106), ('b', 'A2P887RDKZ27ZF', 1687), ('e', 'A3O9WZNVQSQC1S', 41)]
b	['e', 'b', 'b', 'b']	57	who helped coach him throughout his career ?	donald rumsfeld	donald rumsfeld	[('e', 'A3O9WZNVQSQC1S', 54), ('b', 'A3T9WZOUQGE2UW', 128), ('b', 'A1OKMU27HBN9T3', 156), ('b', 'A2P887RDKZ27ZF', 1578)]
b	['b', 'e', 'b', 'b', 'b']	58	how many miles is it west-south-west of london ?	190	190 miles	[('b', 'A2P887RDKZ27ZF', 1750), ('e', 'A3O9WZNVQSQC1S', 51), ('b', 'A3T9WZOUQGE2UW', 279), ('b', 'A31ZLT6OHU6CRY', 387), ('b', 'A31CNXHGR49DJR', 530)]
b	['b', 'b', 'b', 'b', 'e']	59	who did he pass the bell to ?	alice	alice	[('b', 'A399GYOD60WD7M', 309), ('b', 'A3T9WZOUQGE2UW', 133), ('b', 'A2P887RDKZ27ZF', 1394), ('b', 'A34DYM8J0X5VK', 98), ('e', 'A3O9WZNVQSQC1S', 42)]
b	['d', 'b', 'b', 'b', 'b']	62	how far from outen was he ?	about 280 miles away	280 miles	[('d', 'A3O9WZNVQSQC1S', 46), ('b', 'A2P887RDKZ27ZF', 230), ('b', 'A34DYM8J0X5VK', 267), ('b', 'A3T9WZOUQGE2UW', 109), ('b', 'A399GYOD60WD7M', 231)]
b	['b', 'b', 'b', 'b', 'e']	63	when did it have a name change ?	1989	1989	[('b', 'A399GYOD60WD7M', 309), ('b', 'A3T9WZOUQGE2UW', 133), ('b', 'A2P887RDKZ27ZF', 1394), ('b', 'A34DYM8J0X5VK', 98), ('e', 'A3O9WZNVQSQC1S', 42)]
b	['b', 'b', 'e', 'b', 'b']	64	what kingdom was this area in ?	the kingdom of elmet	kingdom of elmet	[('b', 'A3T9WZOUQGE2UW', 155), ('b', 'A2P887RDKZ27ZF', 1456), ('e', 'A3O9WZNVQSQC1S', 86), ('b', 'A2RM4OW2ZNSPL', 512), ('b', 'A31CNXHGR49DJR', 276)]
b	['b', 'e', 'b', 'b', 'e']	65	how was it originally spelled ?	dacca	dacca	[('b', 'A31CNXHGR49DJR', 207), ('e', 'A3IX3XVGPJH2I7', 1635), ('b', 'A3T9WZOUQGE2UW', 151), ('b', 'A2P887RDKZ27ZF', 1825), ('e', 'A3O9WZNVQSQC1S', 44)]
b	['b', 'b', 'b', 'b', 'b']	66	what did ellen do when she grew up ?	she became queen	to be queen	[('b', 'A31ZLT6OHU6CRY', 762), ('b', 'A3T9WZOUQGE2UW', 112), ('b', 'A2P887RDKZ27ZF', 1188), ('b', 'A3O9WZNVQSQC1S', 47), ('b', 'A31CNXHGR49DJR', 91)]
b	['b', 'b', 'b', 'b', 'b']	67	who felt there was a silence before the storm ?	even saton	saton	[('b', 'A34DYM8J0X5VK', 114), ('b', 'A2P887RDKZ27ZF', 2055), ('b', 'A3O9WZNVQSQC1S', 45), ('b', 'A3T9WZOUQGE2UW', 82), ('b', 'A31CNXHGR49DJR', 168)]
b	['b', 'b', 'b', 'b', 'b']	68	who says it 's getting cold ?	dick	dick	[('b', 'A3T9WZOUQGE2UW', 67), ('b', 'A399GYOD60WD7M', 236), ('b', 'A3O9WZNVQSQC1S', 44), ('b', 'A31CNXHGR49DJR', 188), ('b', 'A2P887RDKZ27ZF', 1275)]
b	['b', 'e', 'b', 'b', 'b']	70	who is the author ?	james	james brown	[('b', 'A2P887RDKZ27ZF', 1750), ('e', 'A3O9WZNVQSQC1S', 51), ('b', 'A3T9WZOUQGE2UW', 279), ('b', 'A31ZLT6OHU6CRY', 387), ('b', 'A31CNXHGR49DJR', 530)]
b	['e', 'b', 'b', 'b', 'b']	71	and his face is now what ?	graver	graver	[('e', 'A3O9WZNVQSQC1S', 52), ('b', 'A399GYOD60WD7M', 370), ('b', 'A34DYM8J0X5VK', 166), ('b', 'A3T9WZOUQGE2UW', 101), ('b', 'A2P887RDKZ27ZF', 569)]
b	['b', 'b', 'e', 'b', 'b']	73	what would be another example ?	cotton	cotton	[('b', 'A34DYM8J0X5VK', 114), ('b', 'A2P887RDKZ27ZF', 2055), ('e', 'A3O9WZNVQSQC1S', 45), ('b', 'A3T9WZOUQGE2UW', 82), ('b', 'A31CNXHGR49DJR', 168)]
b	['b', 'a', 'b', 'b', 'b']	75	how much of it is service ?	82.8 %	82.8	[('b', 'A3T9WZOUQGE2UW', 164), ('a', 'A2RM4OW2ZNSPL', 491), ('b', 'A3O9WZNVQSQC1S', 52), ('b', 'A34DYM8J0X5VK', 103), ('b', 'A2P887RDKZ27ZF', 1082)]
b	['b', 'b', 'e', 'b', 'b']	76	how did people in the stadium react ?	boos	boos	[('b', 'A31CNXHGR49DJR', 73), ('b', 'A2P887RDKZ27ZF', 640), ('e', 'A3O9WZNVQSQC1S', 42), ('b', 'A31ZLT6OHU6CRY', 342), ('b', 'A10I4OKFE6CQZ2', 226)]
b	['b', 'b', 'b', 'b', 'e']	77	who is right ?	jim	jim	[('b', 'A2P887RDKZ27ZF', 710), ('b', 'A1OKMU27HBN9T3', 128), ('b', 'A34DYM8J0X5VK', 97), ('b', 'A3T9WZOUQGE2UW', 292), ('e', 'A3O9WZNVQSQC1S', 41)]
b	['b', 'b', 'b', 'd', 'e']	78	what was made to honor the occasion ?	the hanoi ceramic mosaic mural	hanoi ceramic mosaic mural	[('b', 'A399GYOD60WD7M', 309), ('b', 'A3T9WZOUQGE2UW', 133), ('b', 'A2P887RDKZ27ZF', 1394), ('d', 'A34DYM8J0X5VK', 98), ('e', 'A3O9WZNVQSQC1S', 42)]
b	['b', 'e', 'b', 'b', 'b']	79	what is that ?	a mayan temple	mayan temple	[('b', 'A399GYOD60WD7M', 213), ('e', 'A3O9WZNVQSQC1S', 43), ('b', 'A3T9WZOUQGE2UW', 91), ('b', 'A10I4OKFE6CQZ2', 71), ('b', 'A2P887RDKZ27ZF', 97)]
b	['b', 'b', 'b', 'b', 'b']	82	who spoke first to the messenger ?	dick	dick	[('b', 'A3T9WZOUQGE2UW', 67), ('b', 'A399GYOD60WD7M', 236), ('b', 'A3O9WZNVQSQC1S', 44), ('b', 'A31CNXHGR49DJR', 188), ('b', 'A2P887RDKZ27ZF', 1275)]
b	['b', 'b', 'b', 'b', 'b']	83	how many prisoners did jordan kill ?	two prisoners	two	[('b', 'A3T9WZOUQGE2UW', 135), ('b', 'A31ZLT6OHU6CRY', 272), ('b', 'A3O9WZNVQSQC1S', 52), ('b', 'A31CNXHGR49DJR', 92), ('b', 'A2P887RDKZ27ZF', 1932)]
b	['b', 'b', 'e', 'b', 'b']	84	who were they searching for ?	nell	little nell	[('b', 'A34DYM8J0X5VK', 114), ('b', 'A2P887RDKZ27ZF', 2055), ('e', 'A3O9WZNVQSQC1S', 45), ('b', 'A3T9WZOUQGE2UW', 82), ('b', 'A31CNXHGR49DJR', 168)]
b	['b', 'e', 'b', 'b', 'b']	85	how old is the brave lady ?	30	30	[('b', 'A399GYOD60WD7M', 213), ('e', 'A3O9WZNVQSQC1S', 43), ('b', 'A3T9WZOUQGE2UW', 91), ('b', 'A10I4OKFE6CQZ2', 71), ('b', 'A2P887RDKZ27ZF', 97)]
b	['b', 'b', 'e', 'b', 'b']	86	how long ago was it inhabited ?	2000 years	2000 years ago	[('b', 'A31CNXHGR49DJR', 73), ('b', 'A2P887RDKZ27ZF', 640), ('e', 'A3O9WZNVQSQC1S', 42), ('b', 'A31ZLT6OHU6CRY', 342), ('b', 'A10I4OKFE6CQZ2', 226)]
b	['b', 'e', 'b', 'b', 'b']	87	when did he visit her grave ?	friday	friday	[('b', 'A31CNXHGR49DJR', 55), ('e', 'A3O9WZNVQSQC1S', 40), ('b', 'A2P887RDKZ27ZF', 873), ('b', 'A10I4OKFE6CQZ2', 139), ('b', 'A1OKMU27HBN9T3', 171)]
b	['b', 'b', 'b', 'b', 'b']	88	where did it hide ?	in the bathroom	bathroom	[('b', 'A3T9WZOUQGE2UW', 91), ('b', 'A2P887RDKZ27ZF', 220), ('b', 'A1OKMU27HBN9T3', 169), ('b', 'A3O9WZNVQSQC1S', 50), ('b', 'A399GYOD60WD7M', 277)]
b	['b', 'b', 'b', 'b', 'e']	89	who is the president of the ncaa ?	mark emmert	mark emmert	[('b', 'A2P887RDKZ27ZF', 1357), ('b', 'A399GYOD60WD7M', 119), ('b', 'A3T9WZOUQGE2UW', 65), ('b', 'A1OKMU27HBN9T3', 361), ('e', 'A3O9WZNVQSQC1S', 40)]
b	['b', 'e', 'b', 'e', 'c']	90	what was she doing when they got there ?	cooking	cooking on the stove	[('b', 'A31CNXHGR49DJR', 55), ('e', 'A3O9WZNVQSQC1S', 40), ('b', 'A2P887RDKZ27ZF', 873), ('e', 'A10I4OKFE6CQZ2', 139), ('c', 'A1OKMU27HBN9T3', 171)]
b	['b', 'b', 'b', 'b', 'e']	93	how did he plead ?	guilty	guilty	[('b', 'A3T9WZOUQGE2UW', 190), ('b', 'A31CNXHGR49DJR', 119), ('b', 'A31ZLT6OHU6CRY', 832), ('b', 'A2P887RDKZ27ZF', 953), ('e', 'A3O9WZNVQSQC1S', 48)]
b	['e', 'b', 'a', 'b', 'b']	94	what continent is buenos aires found on ?	south america	south american	[('e', 'A3O9WZNVQSQC1S', 131), ('b', 'A1BFLMCFOAYEVI', 234), ('a', 'A34DYM8J0X5VK', 88), ('b', 'A31CNXHGR49DJR', 696), ('b', 'A2P887RDKZ27ZF', 1526)]
